,Row Labels,MKT_SDESC,PER_SDESC,MT_Volume KG,NT_CWD,NT_Avg Line,NT_Price per kg,NT_Universe,MT_Universe percent,Frequency,Penetration,Spend per Trip,Volume per Trip,Total Mixed Chains - VoD (Vol),sales_lag1,sales_lag3,sales_lag6,sales_lag12,year,month,quarter,year_month,sales_rolling1_mean,sales_rolling1_std,sales_rolling3_mean,sales_rolling3_std,sales_rolling6_mean,sales_rolling6_std,sales_rolling12_mean,sales_rolling12_std,NT_CWD_clean,differentiation,NT_CWD_diff
0,BAGS,Discounters,2019-01-01,1458414.5,3175.94,31.7594,361.6471559,26047.36129,0.126383497,1.779020071,7.630784988,137.8272705,0.745170057,,,,,,2019,1,1,2019-01,3175.94,,,,,,,,3175.94,1,
1,BAGS,Discounters,2019-02-01,1599316.0,3151.74,31.5174,357.873791,26385.74648,0.127194098,1.779020071,7.630784988,137.8272705,0.745170057,,3175.94,,,,2019,2,1,2019-02,3151.74,,,,,,,,3151.74,1,-24.200000000000273
2,BAGS,Discounters,2019-03-01,1505515.5,3155.4,31.554,385.2561385,26475.00379,0.128160403,1.779020071,7.630784988,137.8272705,0.745170057,,3151.74,,,,2019,3,1,2019-03,3155.4,,3161.0266666666666,13.04432954709973,,,,,3155.4,1,3.6600000000003092
3,BAGS,Discounters,2019-04-01,1565605.8,3414.86,34.1520152,393.144379,26895.73306,0.129438297,1.792873144,9.147782326,149.4722137,0.850036144,,3155.4,3175.94,,,2019,4,2,2019-04,3414.86,,3240.6666666666665,150.86695109709552,,,,,3414.86,1,259.46000000000004
4,BAGS,Discounters,2019-05-01,1508979.0,3394.44,33.9444,404.4016517,27153.48617,0.130361408,1.792873144,9.147782326,149.4722137,0.850036144,,3414.86,3151.74,,,2019,5,2,2019-05,3394.44,,3321.566666666667,144.26629867482356,,,,,3394.44,1,-20.420000000000073
5,BAGS,Discounters,2019-06-01,1271805.5,3282.95,32.8295,401.5016447,27337.00409,0.135127567,1.792873144,9.147782326,149.4722137,0.850036144,,3394.44,3155.4,,,2019,6,2,2019-06,3282.95,,3364.0833333333335,71.00146078309541,3262.5550000000003,120.22540392945245,,,3282.95,1,-111.49000000000024
6,BAGS,Discounters,2019-07-01,1415931.8,3222.57,32.2257,393.3579287,27709.80939,0.136254425,1.746946931,9.365969658,144.7570953,0.803429008,,3282.95,3414.86,3175.94,,2019,7,3,2019-07,3222.57,,3299.986666666666,87.1923748577442,3270.3266666666673,114.89559428745152,,,3222.57,1,-60.379999999999654
7,BAGS,Discounters,2019-08-01,1504473.5,3075.2,30.752,388.6927354,27994.67277,0.137610925,1.746946931,9.365969658,144.7570953,0.803429008,,3222.57,3394.44,3151.74,,2019,8,3,2019-08,3075.2,,3193.5733333333333,106.86730385545161,3257.5699999999997,133.4467768063358,,,3075.2,1,-147.37000000000035
8,BAGS,Discounters,2019-09-01,1506278.6,2887.48,28.8748,383.7971329,28145.16792,0.138330584,1.746946931,9.365969658,144.7570953,0.803429008,,3075.2,3282.95,3155.4,,2019,9,3,2019-09,2887.48,,3061.75,167.94940875156462,3212.9166666666665,201.79424636660656,,,2887.48,1,-187.7199999999998
9,BAGS,Discounters,2019-10-01,1566526.6,2730.77,27.3077,404.9447995,28466.71358,0.143768062,1.760222077,11.60909462,170.7050018,0.89144367,,2887.48,3222.57,3414.86,,2019,10,4,2019-10,2730.77,,2897.816666666667,172.44750283298814,3098.9016666666666,251.90965296444426,,,2730.77,1,-156.71000000000004
